Port_IDs,PnL,Win_Rate,Win_Positions,Total_Positions
3672754654734989568,565.5477615,0.44685466377440347,206,461
3733192481840423936,2653.5918999,0.7811965811965812,457,585
3768170840939476993,243.66889897,0.42857142857142855,6,14
3784403294629753856,2493.61889803,0.30293159609120524,1767,5833
3786761687746711808,170.22019999,0.43037974683544306,34,79
3788465932399412480,13209.20607365,0.4527002537151142,1249,2759
3818233536529843712,5954.68440088,0.32216298552932215,423,1313
3819545518395756033,976.85638996,0.3968253968253968,25,63
3826087012661391104,532.65697373,0.5887850467289719,63,107
3858510226868015873,-237.66359218999997,0.2722159730033746,242,889
3865845304835489536,1360.1801148,0.4951338199513382,407,822
3878631538480067329,3908.22368975,0.5046594982078854,1408,2790
3879821005658659073,4129.76356712,0.325609756097561,267,820
3880920727367689984,-187.79979999,0.323943661971831,46,142
3886752488982104320,7122.138782,0.7479201331114809,899,1202
3887577207880438784,2374.46352174,0.47747118407265104,2734,5726
3891020560590657281,2805.66419055,0.6690821256038647,277,414
3907081197088384000,16986.45633284,0.6094659579853202,2408,3951
3910887259807777281,1795.1584100100001,0.23880597014925373,16,67
3910983669796782848,6764.81172472,0.42812006319115326,271,633
3911997667197443328,605.72231024,0.46875,30,64
3914654298562589441,1265.0721161400002,0.4148936170212766,195,470
3919174299855478272,1235.5844889900002,0.47114556416882,547,1161
3923766029921022977,773.24106059,0.28640776699029125,354,1236
3925368433214965504,6491.14426619,0.32811334824757643,440,1341
3926423286576838657,1270.79183061,0.3304535637149028,153,463
3930688517098515713,1945.62421995,0.47761194029850745,128,268
3931992636670880512,10169.88944223,0.403737658674189,2290,5672
3932103299427844097,3848.92417141,0.30198412698412697,761,2520
3935808725185052672,2069.95839914,0.3368146214099217,516,1532
3936410995029308417,10681.514,0.3157894736842105,6,19
3937714876784951296,1114.43209583,0.3731958762886598,181,485
3939318616482048768,9406.8656064,0.5736842105263158,109,190
3939925275039085824,2366.28078491,0.36259214812274987,2115,5833
3941019213896463617,4342.39401225,0.46601941747572817,48,103
3942630767220672256,6575.78316398,0.38539254893706587,1831,4751
3943533600390906881,2343.40360854,0.5439814814814815,940,1728
3944088772635000577,7471.56897874,0.4605059370160041,2676,5811
3944239644144231424,-1173.1670782,0.2714987714987715,221,814
3944658614777849089,2074.44997996,0.4444444444444444,20,45
3946087913459823360,-32.29951931000001,0.31782817414335374,1920,6041
3949214983441029120,1300.20450704,0.3710112359550562,1651,4450
3949329502284748801,428.19925519,0.18867924528301888,70,371
3951723256343550465,5291.61958521,0.35661080074487894,1149,3222
3952087967771302912,1031.93187719,0.35185185185185186,57,162
3953433416230728705,4915.08364666,0.21176470588235294,108,510
3953764659057081857,6241.74633404,0.3346693386773547,167,499
3956048468100538880,1373.56489,0.7142857142857143,20,28
3956076827719377409,16618.82917513,0.5121314896947561,1963,3833
3957509601040585217,2317.88100518,0.27007299270072993,296,1096
3960874214179953664,19277.53925264,0.5060510981622591,1129,2231
3962024093501274881,9417.35359449,0.2568888888888889,289,1125
3966142151544441601,4783.05370744,0.5037546933667084,805,1598
3975304792994095360,2514.93244516,0.4330508474576271,1022,2360
3975392755164484097,2382.9735969500002,0.27602070155261643,480,1739
3976088733682659585,5895.5641711,0.4332116788321168,1187,2740
3977078013600312321,4667.77171509,0.34610184767913477,1536,4438
3977116548751698176,491.84963032999997,0.2915766738660907,405,1389
3977234346014419201,2427.29283086,0.4647887323943662,33,71
3978449781300392193,5851.1057143200005,0.4181523500810373,258,617
3981810242465907713,2836.47282999,0.11764705882352941,12,102
3983074113875692800,2424.82951996,0.3333333333333333,14,42
3986814617275053313,15847.59634446,0.7790560471976401,2641,3390
3987739404272887297,12435.873935149999,0.23159752868490732,1312,5665
3988071780777702657,3422.7721085400003,0.3749467405198125,880,2347
3988187872032603905,2651.54868195,0.3291114575214341,1689,5132
3988205565930333696,3337.28491469,0.38461538461538464,135,351
3991414786174551297,1795.57782191,0.2947019867549669,89,302
3993014919980212480,3036.67211535,0.481981981981982,321,666
3993222640082269952,1846.00858087,0.46089291708627056,1373,2979
3994879592543698688,3633.7262049299998,0.5602503912363067,358,639
3995532094997544704,-12568.23794418,0.21310888252148996,1190,5584
3996598927198996481,3463.09975456,0.37003058103975534,968,2616
3998572645139652353,9432.8412635,0.3481781376518219,86,247
3998659472131949824,1411.30152237,0.4485294117647059,61,136
3999240873283311617,42220.47216521,0.5209334248455731,2277,4371
3999845462424248576,5787.75513967,0.436470953712333,1405,3219
4000222729738650369,1792.38195062,0.5610278372591007,524,934
4000877324693233921,-659.9771915699998,0.44364809173983155,2476,5581
4002413037164645377,3569.10459052,0.16936936936936936,94,555
4004410127575640832,2629.00368657,0.30257510729613735,141,466
4004713168329653760,1667.19861,0.07407407407407407,2,27
4006366295148391425,2935.9875995400002,0.1686746987951807,112,664
4008537296438699777,2330.24543558,0.4675572519083969,245,524
4008711265867865600,10579.77814317,0.40771349862258954,148,363
4008804082027254529,3562.0399059899996,0.5310668229777257,453,853
4011626972687000576,5402.36941953,0.3862081066853834,2201,5699
4012994295026226176,2508.81348843,0.4042207792207792,249,616
4013955990069013504,1679.90953935,0.6581920903954802,233,354
4013978721149559808,3778.12362398,0.20567375886524822,58,282
4014818740371615232,2021.32165014,0.2367816091954023,103,435
4016164457907769600,3672.48814258,0.4296407185628742,287,668
4017110277719148289,2855.87626248,0.5601659751037344,135,241
4017263283405469185,5975.4209923299995,0.3350910018710665,1970,5879
4017323550554338817,3121.13055186,0.49224806201550386,254,516
4019895412775450368,2554.97893444,0.4066543438077634,220,541
4020204877254599680,70638.37124428,0.3272597356198642,1832,5598
4021243448368889856,1481.9623826499999,0.3795334581985357,2229,5873
4021669203289716224,26438.767141610002,0.3162128712871287,511,1616
4022565861939831809,13807.94979679,0.526148969889065,332,631
4022641794255717633,2173.16818573,0.4354090758529314,2629,6038
4023616625178799873,2074.1179328,0.411543287327478,328,797
4023697433751327232,2408.22399998,0.09523809523809523,4,42
4023697881318718465,3151.95061998,0.08955223880597014,6,67
4026179081117855488,6876.84129451,0.24864864864864866,46,185
4027747397961573889,2629.8515600299997,0.2903225806451613,99,341
4028427053699127040,2633.02381341,0.3025210084033613,36,119
4028701921959171840,15750.62151397,0.5008460236886633,296,591
4029299190618134272,3157.57256839,0.30666666666666664,69,225
4029422834086627072,2755.87330452,0.37755102040816324,37,98
4029506971304830209,2413.6540000200002,0.06,3,50
4029507714735307777,1537.89995998,0.04081632653061224,2,49
4029749871687083265,3538.24113884,0.428743961352657,355,828
4030392204221219329,1347.75800996,0.0963855421686747,8,83
4030395639953224449,4424.09071098,0.19068736141906872,86,451
4030555430101054209,3298.86079001,0.2605042016806723,31,119
4030565764341697025,2401.57593396,0.4803921568627451,49,102
4030626027667524352,3774.79887887,0.5,113,226
4030635536196756737,2578.34975484,0.5263987391646966,668,1269
4030708912786799105,1612.84376999,0.03508771929824561,2,57
4031173908980084736,5345.31649571,0.3640552995391705,79,217
4031181049693676544,4546.57189156,0.24579124579124578,73,297
4031408429897920512,1351.26659997,0.04878048780487805,4,82
4031414524297538817,2525.9744649,0.3526570048309179,73,207
4031451549482615297,3121.37771527,0.38181818181818183,42,110
4031493134338259457,8887.1737933,0.37889688249400477,632,1668
4031673021422897664,1980.17103999,0.3105022831050228,68,219
4032403303704824321,1996.85520656,0.3873239436619718,55,142
4033614723417828608,4568.37208011,0.2540045766590389,111,437
4033639786957934336,2848.14185731,0.18796992481203006,25,133
4034359562055356161,5263.92021264,0.5089655172413793,369,725
4034786679304751616,2428.8095125,0.3737704918032787,114,305
4035034554469394176,2528.65246059,0.18571428571428572,65,350
4035430878731345664,2399.00872719,0.47674418604651164,41,86
4036548677626662656,3292.1177562,0.44274809160305345,58,131
4037073643537925121,1513.58301158,0.19002375296912113,80,421
4037121179310444801,7046.47500385,0.48928571428571427,685,1400
4037179073830813185,2314.23517387,0.4393939393939394,29,66
4037282461943784704,4622.9161153800005,0.34554973821989526,132,382
4037511388357114368,3561.73233415,0.4625,407,880
4037717032428033792,1858.31772538,0.32362459546925565,100,309
4037785885739608577,1934.5792352600001,0.24081632653061225,59,245
4038768306117031680,1738.73190375,0.2,19,95
4039129759104249600,1243.08169114,0.4496124031007752,58,129
4039279455324236544,1023.49838734,0.5516129032258065,171,310
4040382575336130560,0.0,0.0,0,70
4040843843196854529,2043.4781,0.2708333333333333,13,48
4041804592937345281,-796.68268552,0.22727272727272727,75,330
4041860229502600193,2327.33599982,0.4,38,95
